# #La primera linea indica la cantidad de grupos a formar, las siguientes son de la forma 'nombre maestro, habilidad'
38
0, 1380
1, 1002
2, 1098
3, 1284
4, 847
5, 1451
6, 84
7, 1120
8, 1262
9, 1723
10, 659
11, 2067
12, 315
13, 1488
14, 894
15, 1382
16, 1000
17, 1927
18, 455
19, 1096
20, 1094
21, 192
22, 1664
23, 718
24, 858
25, 1524
26, 1345
27, 1037
28, 1493
29, 889
30, 1335
31, 1047
32, 2368
33, 14
34, 1218
35, 1164
36, 2268
37, 114
38, 1044
39, 1304
40, 34
41, 1729
42, 653
43, 1807
44, 575
45, 1003
46, 1379
47, 1758
48, 624
49, 1877
50, 505
51, 1993
52, 389
53, 1031
54, 1286
55, 65
56, 1147
57, 1235
58, 1359
59, 1023
60, 1481
61, 901
62, 1972
63, 410
64, 2009
65, 373
66, 1938
67, 444
68, 1018
69, 1364
70, 1130
71, 1252
72, 1153
73, 1229
74, 937
75, 1445
76, 2232
77, 150
78, 2264
79, 118
