# #La primera linea indica la cantidad de grupos a formar, las siguientes son de la forma 'nombre maestro, habilidad'
23
0, 2001
1, 40
2, 1207
3, 834
4, 715
5, 1313
6, 13
7, 1672
8, 369
9, 1183
10, 858
11, 1634
12, 407
13, 1452
14, 589
15, 1829
16, 212
17, 1174
18, 867
19, 721
20, 1320
21, 1737
22, 304
23, 1485
24, 556
25, 2002
26, 39
27, 1471
28, 570
29, 1024
30, 1017
31, 808
32, 1233
33, 1313
34, 728
35, 1911
36, 130
37, 2004
38, 37
39, 1064
40, 977
41, 1675
42, 366
43, 1813
44, 228
45, 1981
46, 60
