# #La primera linea indica la cantidad de grupos a formar, las siguientes son de la forma 'nombre maestro, habilidad'
22
0, 490
1, 587
2, 376
3, 632
4, 821
5, 1014
6, 439
7, 1232
8, 221
9, 671
10, 782
11, 1145
12, 308
13, 535
14, 669
15, 249
16, 1045
17, 408
18, 1021
19, 432
20, 1108
21, 345
22, 783
23, 670
24, 499
25, 640
26, 314
27, 1252
28, 201
29, 1277
30, 176
31, 1229
32, 224
33, 996
34, 457
35, 521
36, 830
37, 102
38, 1433
39, 20
40, 1260
41, 193
42, 659
43, 794
44, 1190
45, 263
46, 838
47, 615
