# #La primera linea indica la cantidad de grupos a formar, las siguientes son de la forma 'nombre maestro, habilidad'
30
0, 345
1, 423
2, 615
3, 153
4, 651
5, 117
6, 692
7, 76
8, 286
9, 482
10, 661
11, 107
12, 453
13, 298
14, 17
15, 500
16, 268
17, 285
18, 483
19, 316
20, 452
21, 374
22, 394
23, 489
24, 279
25, 565
26, 203
27, 277
28, 290
29, 201
30, 365
31, 403
32, 431
33, 337
34, 617
35, 151
36, 703
37, 65
38, 520
39, 248
40, 684
41, 84
42, 514
43, 254
44, 594
45, 174
46, 727
47, 41
48, 579
49, 189
50, 447
51, 287
52, 34
53, 452
54, 316
55, 751
56, 17
57, 278
58, 490
59, 677
60, 91
61, 293
62, 314
63, 161
