# #La primera linea indica la cantidad de grupos a formar, las siguientes son de la forma 'nombre maestro, habilidad'
39
0, 551
1, 405
2, 561
3, 352
4, 43
5, 473
6, 361
7, 122
8, 461
9, 495
10, 605
11, 351
12, 883
13, 73
14, 383
15, 500
16, 73
17, 847
18, 109
19, 871
20, 85
21, 482
22, 474
23, 506
24, 450
25, 361
26, 376
27, 219
28, 393
29, 563
30, 430
31, 526
32, 376
33, 580
34, 592
35, 364
36, 587
37, 369
38, 834
39, 122
40, 421
41, 535
42, 475
43, 481
44, 664
45, 292
46, 432
47, 524
48, 362
49, 594
50, 508
51, 448
52, 570
53, 386
54, 938
55, 18
56, 921
57, 35
58, 714
59, 242
60, 699
61, 257
62, 401
63, 555
64, 906
65, 50
66, 324
67, 632
68, 864
69, 92
70, 944
71, 12
72, 414
73, 542
74, 872
75, 84
76, 823
77, 133
78, 892
79, 64
80, 596
81, 360
