# #La primera linea indica la cantidad de grupos a formar, las siguientes son de la forma 'nombre maestro, habilidad'
34
0, 947
1, 242
2, 452
3, 661
4, 76
5, 1139
6, 50
7, 921
8, 268
9, 917
10, 272
11, 920
12, 269
13, 847
14, 342
15, 966
16, 223
17, 655
18, 528
19, 6
20, 1139
21, 50
22, 980
23, 209
24, 1139
25, 50
26, 493
27, 524
28, 172
29, 1014
30, 175
31, 1037
32, 152
33, 440
34, 583
35, 166
36, 1079
37, 110
38, 1164
39, 25
40, 970
41, 219
42, 963
43, 226
44, 1181
45, 8
46, 433
47, 756
48, 1167
49, 22
50, 801
51, 388
52, 1112
53, 77
54, 1094
55, 95
56, 988
57, 201
58, 419
59, 770
60, 781
61, 408
62, 901
63, 288
64, 758
65, 431
66, 596
67, 593
68, 412
69, 749
70, 28
71, 691
72, 498
