# #La primera linea indica la cantidad de grupos a formar, las siguientes son de la forma 'nombre maestro, habilidad'
37
0, 1083
1, 567
2, 1446
3, 204
4, 770
5, 712
6, 168
7, 916
8, 734
9, 877
10, 617
11, 156
12, 1644
13, 6
14, 952
15, 698
16, 1231
17, 419
18, 1263
19, 387
20, 1493
21, 157
22, 1232
23, 418
24, 1571
25, 79
26, 1253
27, 397
28, 1120
29, 530
30, 649
31, 587
32, 414
33, 1210
34, 440
35, 1533
36, 117
37, 718
38, 569
39, 363
40, 1564
41, 86
42, 1567
43, 83
44, 1203
45, 447
46, 1312
47, 338
48, 1442
49, 208
50, 1314
51, 336
52, 953
53, 697
54, 1468
55, 182
56, 1562
57, 88
58, 893
59, 579
60, 178
61, 681
62, 562
63, 407
64, 754
65, 792
66, 104
67, 1647
68, 3
69, 851
70, 799
71, 1494
72, 156
73, 584
74, 1066
75, 729
76, 921
77, 1646
78, 4
79, 592
80, 1058
