# #La primera linea indica la cantidad de grupos a formar, las siguientes son de la forma 'nombre maestro, habilidad'
28
0, 1829
1, 1086
2, 2892
3, 23
4, 2120
5, 795
6, 2799
7, 116
8, 2604
9, 311
10, 984
11, 1433
12, 498
13, 2464
14, 451
15, 2632
16, 283
17, 1682
18, 1233
19, 1422
20, 1493
21, 1388
22, 1527
23, 2611
24, 304
25, 1552
26, 1363
27, 2452
28, 463
29, 2113
30, 802
31, 1008
32, 1049
33, 858
34, 1411
35, 1504
36, 1972
37, 943
38, 2799
39, 116
40, 2813
41, 102
42, 2204
43, 711
44, 2234
45, 681
46, 2708
47, 207
48, 2039
49, 876
50, 2645
51, 270
52, 1425
53, 1008
54, 482
55, 1576
56, 1339
57, 1476
58, 1439
